"Version","1",,,
"Report","TopReferrers",,,
"DistributionID","ALL",,,
"StartDateUTC","2020-03-05 00:00:00",,,
"EndDateUTC","2020-03-18 23:59:59",,,
"GeneratedTimeUTC","2020-03-18 21:43:28",,,
,,,,
"DistributionID","FriendlyName","Referrer","Requests","RequestsPct"
"ALL","ALL","virustrack.live","43605","80.47"
"ALL","ALL","Not Specified","5359","9.89"
"ALL","ALL","localhost","4361","8.05"
"ALL","ALL","t.co","537","0.99"
"ALL","ALL","m.facebook.com","78","0.14"
"ALL","ALL","github.com","41","0.08"
"ALL","ALL","www.linkedin.com","37","0.07"
"ALL","ALL","www.virustrack.live","36","0.07"
"ALL","ALL","www.thechaosengine.com","17","0.03"
"ALL","ALL","www.facebook.com","16","0.03"
"ALL","ALL","com.linkedin.android","14","0.03"
"ALL","ALL","192.168.1.4","12","0.02"
"ALL","ALL","www.google.com","12","0.02"
"ALL","ALL","l.facebook.com","9","0.02"
"ALL","ALL","www.bing.com","9","0.02"
"ALL","ALL","bookmarksbin.appspot.com","8","0.01"
"ALL","ALL","www.homegrownwichita.com","8","0.01"
"ALL","ALL","thechaosengine.com","6","0.01"
"ALL","ALL","cime.net","4","0.01"
"ALL","ALL","com.google.android.googlequicksearchbox","4","0.01"
"ALL","ALL","virustrack.live.s3-website-eu-west-1.amazonaws.com","3","0.01"
"ALL","ALL","staging.virustrack.live","3","0.01"
"ALL","ALL","com.Slack","2","0.00"
"ALL","ALL","mail.govtraining.com","2","0.00"
"ALL","ALL","com.google.android.gm","2","0.00"
