state,abbreviation,postalCode
Alabama,Ala.,AL
Alaska,Alaska,AK
AmericanSamoa,,AS
Arizona,Ariz.,AZ
Arkansas,Ark.,AR
California,Calif.,CA
Colorado,Colo.,CO
Connecticut,Conn.,CT
Delaware,Del.,DE
Dist.ofColumbia,D.C.,DC
Florida,Fla.,FL
Georgia,Ga.,GA
Guam,Guam,GU
Hawaii,Hawaii,HI
Idaho,Idaho,ID
Illinois,Ill.,IL
Indiana,Ind.,IN
Iowa,Iowa,IA
Kansas,Kans.,KS
Kentucky,Ky.,KY
Louisiana,La.,LA
Maine,Maine,ME
Maryland,Md.,MD
MarshallIslands,,MH
Massachusetts,Mass.,MA
Michigan,Mich.,MI
Micronesia,,FM
Minnesota,Minn.,MN
Mississippi,Miss.,MS
Missouri,Mo.,MO
Montana,Mont.,MT
Nebraska,Nebr.,NE
Nevada,Nev.,NV
NewHampshire,N.H.,NH
NewJersey,N.J.,NJ
NewMexico,N.M.,NM
NewYork,N.Y.,NY
NorthCarolina,N.C.,NC
NorthDakota,N.D.,ND
NorthernMarianas,,MP
Ohio,Ohio,OH
Oklahoma,Okla.,OK
Oregon,Ore.,OR
Palau,,PW
Pennsylvania,Pa.,PA
PuertoRico,P.R.,PR
RhodeIsland,R.I.,RI
SouthCarolina,S.C.,SC
SouthDakota,S.D.,SD
Tennessee,Tenn.,TN
Texas,Tex.,TX
Utah,Utah,UT
Vermont,Vt.,VT
Virginia,Va.,VA
VirginIslands,V.I.,VI
Washington,Wash.,WA
WestVirginia,W.Va.,WV
Wisconsin,Wis.,WI
Wyoming,Wyo.,WY
